slug,scientific_name,common_name,genus,family
scabiosa-columbaria,Scabiosa columbaria,Pigeon's scabious,Scabiosa,Caprifoliaceae
schisandra-chinensis,Schisandra chinensis,Magnolia-vine,Schisandra,Schisandraceae
scirpus-sylvaticus,Scirpus sylvaticus,Wood club-rush,Scirpus,Cyperaceae
scorzoneroides-autumnalis,Scorzoneroides autumnalis,Autumn hawkbit,Scorzoneroides,Asteraceae
scrophularia-nodosa,Scrophularia nodosa,Figwort,Scrophularia,Scrophulariaceae
scutellaria-baicalensis,Scutellaria baicalensis,Baikal skullcap,Scutellaria,Lamiaceae
scutellaria-galericulata,Scutellaria galericulata,Marsh scullcap,Scutellaria,Lamiaceae
scutellaria-lateriflora,Scutellaria lateriflora,Scullcap,Scutellaria,Lamiaceae
sedum-acre,Sedum acre,Biting stonecrop,Sedum,Crassulaceae
sedum-album,Sedum album,White stonecrop,Sedum,Crassulaceae
selenicereus-grandiflorus,Selenicereus grandiflorus,Night-blooming cereus,Selenicereus,Cactaceae
sempervivum-tectorum,Sempervivum tectorum,Houseleek,Sempervivum,Crassulaceae
senecio-aureus,Senecio aureus,,Senecio,Asteraceae
senecio-inaequidens,Senecio inaequidens,South african ragwort,Senecio,Asteraceae
senecio-vulgaris,Senecio vulgaris,Common fireweed,Senecio,Asteraceae
serenoa-repens,Serenoa repens,Saw palmetto,Serenoa,Arecaceae
sesamum-indicum,Sesamum indicum,Sesame,Sesamum,Pedaliaceae
silene-dioica,Silene dioica,Red campion,Silene,Caryophyllaceae
silene-flos-cuculi,Silene flos-cuculi,Meadow campion,Silene,Caryophyllaceae
silene-latifolia,Silene latifolia,White cockle,Silene,Caryophyllaceae
silene-nutans,Silene nutans,Eurasian catchfly,Silene,Caryophyllaceae
silene-vulgaris,Silene vulgaris,Bladder campion,Silene,Caryophyllaceae
silybum-marianum,Silybum marianum,Variegated artichoke,Silybum,Asteraceae
sinapis-arvensis,Sinapis arvensis,California-rape,Sinapis,Brassicaceae
sisymbrium-officinale,Sisymbrium officinale,Hedge mustard,Sisymbrium,Brassicaceae
solanum-dulcamara,Solanum dulcamara,Bitter nightshade,Solanum,Solanaceae
solanum-melongena,Solanum melongena,Aubergine,Solanum,Solanaceae
solanum-nigrum,Solanum nigrum,,Solanum,Solanaceae
solanum-tuberosum,Solanum tuberosum,Potato,Solanum,Solanaceae
solidago-canadensis,Solidago canadensis,Canadian goldenrod,Solidago,Asteraceae
solidago-gigantea,Solidago gigantea,Early goldenrod,Solidago,Asteraceae
solidago-virgaurea,Solidago virgaurea,European goldenrod,Solidago,Asteraceae
sonchus-arvensis,Sonchus arvensis,Field sow thistle,Sonchus,Asteraceae
sonchus-asper,Sonchus asper,Rough milk thistle,Sonchus,Asteraceae
sonchus-oleraceus,Sonchus oleraceus,Common sowthistle,Sonchus,Asteraceae
sorbus-aria,Sorbus aria,Chess-apple,Sorbus,Rosaceae
sorbus-aucuparia,Sorbus aucuparia,Quickbeam,Sorbus,Rosaceae
sparganium-erectum,Sparganium erectum,Branched bur-reed,Sparganium,Typhaceae
spergula-arvensis,Spergula arvensis,Starwort,Spergula,Caryophyllaceae
spigelia-marilandica,Spigelia marilandica,Indian-pink,Spigelia,Loganiaceae
stachys-officinalis,Stachys officinalis,Betony,Stachys,Lamiaceae
stachys-palustris,Stachys palustris,Hedge-nettle,Stachys,Lamiaceae
stachys-sylvatica,Stachys sylvatica,Hedge woundwort,Stachys,Lamiaceae
stellaria-graminea,Stellaria graminea,Grass-leaf starwort,Stellaria,Caryophyllaceae
stellaria-media,Stellaria media,Common chickweed,Stellaria,Caryophyllaceae
stillingia-sylvatica,Stillingia sylvatica,Queen's-delight,Stillingia,Euphorbiaceae
strychnos-nux-vomica,Strychnos nux-vomica,Strychninetree,Strychnos,Loganiaceae
stuckenia-pectinata,Stuckenia pectinata,Sago pondweed,Stuckenia,Potamogetonaceae
styrax-benzoin,Styrax benzoin,,Styrax,Styracaceae
succisa-pratensis,Succisa pratensis,Premorse,Succisa,Caprifoliaceae
swertia-chirata,Swertia chirata,,Swertia,Gentianaceae
symphytum-officinale,Symphytum officinale,Healingherb,Symphytum,Boraginaceae
symplocarpus-foetidus,Symplocarpus foetidus,Polecatweed,Symplocarpus,Araceae
syzygium-cumini,Syzygium cumini,Jambolan,Syzygium,Myrtaceae
tabebuia-rosea,Tabebuia rosea,Pink poui,Tabebuia,Bignoniaceae
tamarindus-indica,Tamarindus indica,Tamarind,Tamarindus,Fabaceae
tanacetum-parthenium,Tanacetum parthenium,Feverfew,Tanacetum,Asteraceae
tanacetum-vulgare,Tanacetum vulgare,Golden-buttons,Tanacetum,Asteraceae
taraxacum-officinale,Taraxacum officinale,,Taraxacum,Asteraceae
taxus-baccata,Taxus baccata,Yew,Taxus,Taxaceae
terminalia-arjuna,Terminalia arjuna,Arjun,Terminalia,Combretaceae
terminalia-chebula,Terminalia chebula,Chebulic myrobalan,Terminalia,Combretaceae
teucrium-chamaedrys,Teucrium chamaedrys,Wall germander,Teucrium,Lamiaceae
teucrium-scorodonia,Teucrium scorodonia,Wood germander,Teucrium,Lamiaceae
theobroma-cacao,Theobroma cacao,Cocoa,Theobroma,Malvaceae
thuja-occidentalis,Thuja occidentalis,Northern white-cedar,Thuja,Cupressaceae
thymus-mastichina,Thymus mastichina,Mastic thyme,Thymus,Lamiaceae
thymus-pulegioides,Thymus pulegioides,Large thyme,Thymus,Lamiaceae
thymus-serpyllum,Thymus serpyllum,Breckland thyme,Thymus,Lamiaceae
thymus-vulgaris,Thymus vulgaris,Garden thyme,Thymus,Lamiaceae
thymus-zygis,Thymus zygis,White thyme,Thymus,Lamiaceae
tilia-cordata,Tilia cordata,Linden,Tilia,Malvaceae
torilis-japonica,Torilis japonica,Upright hedge-parsley,Torilis,Apiaceae
tragopogon-pratensis,Tragopogon pratensis,Johnny-go-to-bed-at-noon,Tragopogon,Asteraceae
trifolium-arvense,Trifolium arvense,Stone clover,Trifolium,Fabaceae
trifolium-campestre,Trifolium campestre,Large hop clover,Trifolium,Fabaceae
trifolium-dubium,Trifolium dubium,Suckling clover,Trifolium,Fabaceae
trifolium-hybridum,Trifolium hybridum,Alsike clover,Trifolium,Fabaceae
trifolium-medium,Trifolium medium,Mammoth clover,Trifolium,Fabaceae
trifolium-pratense,Trifolium pratense,Cowgrass clover,Trifolium,Fabaceae
trifolium-repens,Trifolium repens,Dutch clover,Trifolium,Fabaceae
trigonella-foenum-graecum,Trigonella foenum-graecum,Fenugreek,Trigonella,Fabaceae
trillium-erectum,Trillium erectum,Birthroot,Trillium,Melanthiaceae
tripleurospermum-inodorum,Tripleurospermum inodorum,Scentless mayweed,Tripleurospermum,Asteraceae
trisetum-flavescens,Trisetum flavescens,Yellow oatgrass,Trisetum,Poaceae
triticum-aestivum,Triticum aestivum,Wheat,Triticum,Poaceae
trollius-europaeus,Trollius europaeus,Globeflower,Trollius,Ranunculaceae
tropaeolum-majus,Tropaeolum majus,Garden nasturtium,Tropaeolum,Tropaeolaceae
tsuga-canadensis,Tsuga canadensis,Eastern hemlock,Tsuga,Pinaceae
turnera-diffusa,Turnera diffusa,Damiana,Turnera,Passifloraceae
tussilago-farfara,Tussilago farfara,Coltsfoot,Tussilago,Asteraceae
typha-angustifolia,Typha angustifolia,Narrow-leaf cattail,Typha,Typhaceae
typha-latifolia,Typha latifolia,Cooper's-reed,Typha,Typhaceae
ulex-europaeus,Ulex europaeus,European gorse,Ulex,Fabaceae
ulmus-glabra,Ulmus glabra,Wych elm,Ulmus,Ulmaceae
ulmus-minor,Ulmus minor,European field elm,Ulmus,Ulmaceae
ulmus-rubra,Ulmus rubra,Slippery elm,Ulmus,Ulmaceae
uncaria-rhynchophylla,Uncaria rhynchophylla,,Uncaria,Rubiaceae
uncaria-tomentosa,Uncaria tomentosa,Cat's claw,Uncaria,Rubiaceae
urtica-dioica,Urtica dioica,Common nettle,Urtica,Urticaceae
vaccinium-macrocarpon,Vaccinium macrocarpon,American cranberry,Vaccinium,Ericaceae
vaccinium-myrtillus,Vaccinium myrtillus,European blueberry,Vaccinium,Ericaceae
vaccinium-oxycoccos,Vaccinium oxycoccos,European cranberry,Vaccinium,Ericaceae
vaccinium-uliginosum,Vaccinium uliginosum,Bog blueberry,Vaccinium,Ericaceae
vaccinium-vitis-idaea,Vaccinium vitis-idaea,Cowberry,Vaccinium,Ericaceae
valeriana-officinalis,Valeriana officinalis,Garden-heliotrope,Valeriana,Caprifoliaceae
verbascum-thapsus,Verbascum thapsus,Common mullein,Verbascum,Scrophulariaceae
verbena-officinalis,Verbena officinalis,Official vervain,Verbena,Verbenaceae
veronica-arvensis,Veronica arvensis,Field speedwell,Veronica,Plantaginaceae
veronica-beccabunga,Veronica beccabunga,European brooklime,Veronica,Plantaginaceae
veronica-chamaedrys,Veronica chamaedrys,Germander speedwell,Veronica,Plantaginaceae
veronica-hederifolia,Veronica hederifolia,Small henbit,Veronica,Plantaginaceae
veronica-officinalis,Veronica officinalis,Heath speedwell,Veronica,Plantaginaceae
veronica-persica,Veronica persica,Persian speedwell,Veronica,Plantaginaceae
veronica-serpyllifolia,Veronica serpyllifolia,Thyme speedwell,Veronica,Plantaginaceae
viburnum-lantana,Viburnum lantana,Mealytree,Viburnum,Viburnaceae
viburnum-opulus,Viburnum opulus,Crampbark,Viburnum,Viburnaceae
viburnum-prunifolium,Viburnum prunifolium,Black haw,Viburnum,Viburnaceae
vicia-cracca,Vicia cracca,Cow vetch,Vicia,Fabaceae
vicia-hirsuta,Vicia hirsuta,Hairy tare,Vicia,Fabaceae
vicia-sativa,Vicia sativa,Common vetch,Vicia,Fabaceae
vicia-sepium,Vicia sepium,Hedge vetch,Vicia,Fabaceae
vinca-minor,Vinca minor,Common periwinkle,Vinca,Apocynaceae
viola-arvensis,Viola arvensis,European field pansy,Viola,Violaceae
viola-canina,Viola canina,Heath dog violet,Viola,Violaceae
viola-hirta,Viola hirta,Hairy violet,Viola,Violaceae
viola-odorata,Viola odorata,Garden violet,Viola,Violaceae
viola-palustris,Viola palustris,Alpine marsh violet,Viola,Violaceae
viola-reichenbachiana,Viola reichenbachiana,Early dog violet,Viola,Violaceae
viola-riviniana,Viola riviniana,Wood violet,Viola,Violaceae
viola-tricolor,Viola tricolor,Johnny-jump-up,Viola,Violaceae
viscum-album,Viscum album,Mistletoe,Viscum,Santalaceae
vitex-agnus-castus,Vitex agnus-castus,Chasteberry,Vitex,Lamiaceae
vitis-vinifera,Vitis vinifera,European grape,Vitis,Vitaceae
withania-somnifera,Withania somnifera,Winter-cherry,Withania,Solanaceae
zanthoxylum-americanum,Zanthoxylum americanum,Northern prickly-ash,Zanthoxylum,Rutaceae
zea-mays,Zea mays,Maize,Zea,Poaceae
zingiber-officinale,Zingiber officinale,Ginger,Zingiber,Zingiberaceae
ziziphus-jujuba,Ziziphus jujuba,Chinese jujube,Ziziphus,Rhamnaceae
